"Table 4.18: Crisps and other savoury snacks (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
97.5th percentile,52.8763062199434,55.2839999902116,50.0063898507563,45.4330424580832,40.4358336923096,47.4822026826298
Men 19 to 64 years, , , , , , 
Arithmetic Mean,8.23556922181136,8.77391093057354,9.17786343238028,7.93185511793767,9.76935627478128,10.6576187904258
Median,0,0,5,0,3.75,0.832142024990134
SD,12.7272031469113,13.0990382312015,12.8664693036781,12.0579890421841,13.8059548018551,14.914080548477
2.5th percentile,0,0,0,0,0,0.252217794511549
97.5th percentile,47,45.3742718987457,43.8289626980679,41.3204178735033,50.0237988821314,43.3355288574101
Women 19 to 64 years, , , , , , 
Arithmetic Mean,5.80874480324265,6.6376597946107,6.00256492474395,6.72584302747944,6.51520353318111,8.41071467640803
Median,0,2.25,0,2.02063808962124,0,1.96570364042808
SD,8.47073463758228,9.15918845656802,10.7328860412659,9.45295738573145,9.43441609081394,11.2344881695096
2.5th percentile,0,0,0,0,0,0.520822254139128
97.5th percentile,28.8320609163759,31.25,27.8771731848561,31.3826586719875,31.25,34.0090374100518
Adults 19 to 64 years, , , , , , 
Arithmetic Mean,7.01383818315496,7.70481506059455,7.57951672798215,7.32447815945525,8.13547813026777,9.50874739457952
Median,0,1.5,0,0,2.25,1.64917246404538
SD,10.8592712090358,11.3460970515976,11.9394588758774,10.8357826674544,11.9215145093496,13.2050906146242
2.5th percentile,0,0,0,0,0,0.283845515750461
97.5th percentile,34.5,37.5,38.6098165716604,37.5,38.4292564210313,41.5697163435422
Men 65 to 74 years, , , , , , 
Arithmetic Mean,2.55339619597129,3.16540289137371,2.81215902050308,2.73523202995775,2.78872038175597,4.55700003438331
Median,0,0,0,0,0,0
SD,5.6948371816983,5.89738414867461,5.28890180282604,6.14343390707756,5.99946046681148,10.0125815866988
2.5th percentile,0,0,0,0,0,0
97.5th percentile,19.4395343250204,19.0943411206151,17.6916248171648,20.3063579712573,20.9579508996565,37.0780472828899
Women 65 to 74 years, , , , , , 
Arithmetic Mean,2.65870280327629,1.95860949211648,1.78370333957141,3.39047336334657,1.9851457260235,3.38647040817941
Median,0,0,0,0,0,0.287187200123908
SD,5.93954062330969,4.21036777896132,4.42103343897523,6.17606470057745,4.22632027280889,6.03261832441357
2.5th percentile,0,0,0,0,0,0.0968541764950993
97.5th percentile,19.2601323369427,14.0232738740556,12.4972486491685,19.2179358741382,13.75,21.20546254
Adults 65 to 74 years, , , , , , 
Arithmetic Mean,2.6110932435776,2.45584011155335,2.27002826876878,3.0894964708783,2.36339644828698,3.94747295164264
Median,0,0,0,0,0,0.215001518487869
SD,5.81528090999197,4.99830333550811,4.86453764252382,6.15168062509758,5.14280048196711,8.19381575138105
2.5th percentile,0,0,0,0,0,0
97.5th percentile,20.0979919167766,17.6605134636263,14.8521891541315,20.1324958083835,18.75,27.6711421385618
Men 75 years and over [note 5], , , , , , 
Arithmetic Mean,2.76345705204057,1.6944838778333,1.96052450036808,3.62628568654801,3.23095799094167,4.33463506073661
Median,0,0,0,0,0,0
SD,7.03824425657311,3.99762098338692,4.77367366788655,8.19540070569286,6.07850917425959,10.9738218106457
2.5th percentile,0,0,0,0,0,0
97.5th percentile,20.0318583254302,14.009023285993,17.3424148885439,18.75,19.5729326100259,28.5310796832081
Women 75 years and over, , , , , , 
Arithmetic Mean,1.11876563004729,3.0969692149183,1.70641050289776,1.99705105315174,2.13815967307752,3.24405777819746
Median,0,0,0,0,0,0
SD,2.23008127366972,13.3353394711034,4.43827203461642,4.60745620931375,4.50551656157136,5.95284655576319
2.5th percentile,0,0,0,0,0,0
97.5th percentile,6.25,12.5,17.8387207115475,15.7339596072522,14.8169300904763,19.5587196087212
Adults 75 years and over, , , , , , 
Arithmetic Mean,1.78515357664297,2.39790713690366,1.80928590279593,2.71596091215389,2.6084908863469,3.71192454036528
Median,0,0,0,0,0,0
SD,4.84507932008922,9.85731587025589,4.55907044819806,6.46991803143653,5.25284827776942,8.47660736297855
2.5th percentile,0,0,0,0,0,0
97.5th percentile,14.0911872604934,13.930904086447,17.5740479442659,18.6270580353687,18.75,22.5913921085515
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
[note 1] Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years. ,,,,,,
[note 2] Years 12 to 15 is based on 4 survey years.,,,,,,
[note 3] Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
[note 4] Food group 29. Please refer to Appendix R for a full description of food groups.,,,,,,
[note 5] The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
