"Table 4.8: Disaggregated foods; Red and processed meat (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Children 11 to 18 years, , , , , , 
Arithmetic Mean,63.5152511976495,56.7479631108629,59.2064613414359,53.207165313438,53.2098654975805,51.4976183178789
Median,54.805002173943,49.0721287754748,56.2374563823901,45.4139766653221,48.6931542640184,45.9015523552465
SD,47.864423193942,45.7314213374706,42.5008742326907,46.9927969107663,40.7273992314883,37.0845275831141
2.5th percentile,0,0,0,0,0,6.3282650078935
97.5th percentile,178.058323292382,167.903496960475,156.482626585786,167.068123345779,144.462751355769,136.894433036466
% consuming more than 90g/day,23.2314696040746,20.3324011945051,19.5416283578888,17.2905764960127,16.6299894032881,13.0815161616832
Men 19 to 64 years, , , , , , 
Arithmetic Mean,90.7702073233161,81.5493578772985,84.2434604463018,77.3689594761471,68.6960564149612,65.7857443885656
Median,84.7602147422436,76.5688750289873,79.4717662280008,66.2495996553841,58.3464378336248,61.8175456140906
SD,62.7629279312117,58.483668581402,57.1334998103898,57.9245295318557,57.6318340395548,44.7903693342294
2.5th percentile,0,0,0,0,0,7.96362419900687
97.5th percentile,235.661323866497,219.042980419829,219.317132517611,216.009806009572,208.477309884339,160.561466411312
% consuming more than 90g/day,45.6708479965811,40.2519999199437,41.5711230000916,36.9151349784617,29.3883870071698,27.0865775519914
Women 19 to 64 years, , , , , , 
Arithmetic Mean,57.8002917033316,53.5186003436223,46.6516317566538,47.3956016463107,43.9316206634867,39.7785743104365
Median,51.25,48.2073830732374,40.9732643871106,43.0753602820811,36.9838258232696,36.3793669527751
SD,44.887587834752,42.9762486328674,38.6009109217686,38.8835722482461,39.6082091777601,29.1124292719062
2.5th percentile,0,0,0,0,0,5.23965659486291
97.5th percentile,169.940124142257,155.882467636632,144.179556550246,132.332786237748,131.288333674354,106.29532969169
% consuming more than 90g/day,22.5785830891497,18.4836766668357,13.0407340727725,14.651478655747,14.1302046196006,5.55183113683935
Adults 19 to 64 years, , , , , , 
Arithmetic Mean,74.1722330543024,67.5212473208452,65.3209007707629,62.2736490242642,56.2620763444232,52.4879389311516
Median,64.0448270342586,59.2070024822238,55.9980307551814,53.7593093919959,47.2875902415518,45.6978558462652
SD,56.918334142315,53.1728481658624,52.1692813407132,51.4688463529007,50.9193050983656,39.7724399042017
2.5th percentile,0,0,0,0,0,5.98814344979271
97.5th percentile,210.196173724634,189.921639834612,189.834665832351,193.993362124245,183.200654479169,146.030624581273
% consuming more than 90g/day,34.0455583487523,29.3579509504736,27.2098108250285,25.7026173188332,21.7274034247608,16.0755806790845
Men 65 to 74 years, , , , , , 
Arithmetic Mean,78.0190269960009,76.6191267517234,84.0466321994332,72.9318587899873,66.1797480468658,59.8269427187696
Median,70.6935062384438,70.3441862859451,83.0814174010229,75.1233060743922,57.9655584703094,58.3056915356297
SD,51.9336261637646,47.0884735315767,47.6981405388667,42.0841289312542,45.4917088666996,34.050131895265
2.5th percentile,0,4.12511095392794,0,0,0,6.9033286130945
97.5th percentile,175.63392070276,199.376024492262,181.69774277091,149.243168455298,163.922913217241,135.266179698152
% consuming more than 90g/day,39.1147913153865,34.1598814240709,44.0805854109525,29.6883918576127,25.6234472830539,15.4966434274894
Women 65 to 74 years, , , , , , 
Arithmetic Mean,60.2150153281345,54.684071648188,53.6058944529448,53.8591493964174,40.7501110156208,43.4112343240825
Median,59.4051698040011,45.6984390505518,51.2526260127257,47.3538854221009,38.4470899158639,39.1132668903004
SD,32.9317743218666,43.826806974945,35.4954534259889,40.7677488989561,31.051928765642,25.6694994238341
2.5th percentile,0,0,0,0,0,5.68654266696898
97.5th percentile,131.480457883419,152.618125955615,130.574687924685,139.42218807611,109.930788431536,102.03165562436
% consuming more than 90g/day,15.6168895401036,18.0740415138135,12.8446587874092,17.1140500462031,7.81149308579815,5.37930167797591
Adults 65 to 74 years, , , , , , 
Arithmetic Mean,68.2642838220125,63.7218912478193,68.0003792166107,62.6199593632402,52.7200985025941,51.2788302874895
Median,62.0396074060098,53.4708169762107,63.6143631411031,59.1692553018706,47.379378679632,47.5558906194676
SD,43.3868416485332,46.3759708745909,44.2946544995111,42.3405825961712,40.4970546086842,31.0417015131695
2.5th percentile,0,0,0,0,0,6.64217048891064
97.5th percentile,170.353665267568,160.928681697219,171.083869684248,148.467677760635,144.493925061093,126.082495053315
% consuming more than 90g/day,26.2403896793106,24.7018306181146,27.6151638128154,22.8899163268886,16.1957601753255,10.2282643419718
Men 75 years and over [note 4], , , , , , 
Arithmetic Mean,71.3239362606242,72.694803628624,74.1092518987916,66.3111783823347,58.4314393297092,61.9856236102721
Median,69.2136955150349,61.3634486044275,72.1965101639806,62.017947030312,53.057495710809,61.8574961606952
SD,36.6247276044847,53.2271948099385,28.5212169869403,44.7147311089808,39.1805143495925,28.3879965637837
2.5th percentile,9.70485538265997,0,0,0,0,12.3622181610964
97.5th percentile,142.099576685757,197.430178359932,118.801982998015,160.320951496405,146.111507889061,112.439630560255
% consuming more than 90g/day,34.2184960838329,28.2254682965612,25.4266726523594,23.8606641389985,24.033962276679,18.2065840488364
Women 75 years and over, , , , , , 
Arithmetic Mean,51.6014363009604,47.2326245363685,60.9213464908629,43.254249883711,40.3141736531258,43.9163738609482
Median,44.8393065625547,36.2643205209956,61.8652451867034,36.4673253670597,35.0711620421623,42.2779103483425
SD,32.0842982383384,41.375350258759,35.9821168844978,34.7693248378589,29.6338457904737,21.3478854042256
2.5th percentile,0,0,0,0,0,8.5680296417945
97.5th percentile,123.892387247432,148.231164376604,133.901572884147,115.43995874144,110.812094352512,77.6529025356256
% consuming more than 90g/day,10.0824444049906,14.4053502194567,21.0961375167487,14.6333900492634,7.24723312886709,1.77492792716193
Adults 75 years and over, , , , , , 
Arithmetic Mean,59.5925014175555,59.9241253715992,66.2603323639977,53.4282621936596,48.1116925616883,51.6682329087864
Median,54.0573876915263,55.383467440537,67.3416519748252,44.9554466950483,40.9829140623364,50.9012795003208
SD,35.2487761169102,49.1818766777035,33.6730046891191,40.9761941779606,35.139661203672,26.145504854085
2.5th percentile,0,0,0,0,0,10.1008892606856
97.5th percentile,136.932307566138,188.951863289641,119.237926421265,144.198714625467,133.213875036412,104.145183118096
% consuming more than 90g/day,19.8617706069221,21.2939216760885,22.8493094721859,18.7049818131811,14.4721002958901,8.82424563237182
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
[note 1] Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years. ,,,,,,
[note 2] Years 12 to 15 is based on 4 survey years.,,,,,,
[note 3] Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
[note 4] The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
