"Table 4.5: Disaggregated foods; Total fruit (not including juice) (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
SD,77.2266888941251,62.5249380133247,69.9274387423478,76.4649147942116,84.2353077797162,69.4072217742699
2.5th percentile,0,0,0,0,0,3.16237608967919
97.5th percentile,283.350529906615,213.288371638451,242.641022639942,265.15532167379,301.211104550675,246.949412753347
Men 19 to 64 years,,,,,, 
Arithmetic Mean,97.5696603129971,90.7191990861656,91.8026173142886,103.458599462173,105.348707744145,73.0391116952114
Median,63.1888830587147,60.5139389424022,62.6619565745931,66.2590487673721,78.9180596054362,45.9482653666056
SD,111.333524418239,104.489046205767,102.293947140866,126.297359172113,114.847246303798,75.7366905502265
2.5th percentile,0,0,0,0,0,2.96878004074629
97.5th percentile,417.985907328113,349.152917559828,316.422104196199,402.475700624071,367.915963730213,255.066108222364
Women 19 to 64 years,,,,,, 
Arithmetic Mean,100.819709756843,98.9245106313708,100.302073234958,108.57516689424,104.737432144011,92.633993678587
Median,78.7141995970757,75.5656802723621,78.3150050022744,83.3575856757692,82.1701818357084,66.3744851353906
SD,100.508464655075,99.2781366138058,98.32065754616,107.754958931889,102.559888901366,87.9670054118876
2.5th percentile,0,0,0,0,0,7.2189284701254
97.5th percentile,328.437440555767,331.585220816102,337.200912917499,352.719791558248,357.511515375389,304.480459697021
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,99.2058257695226,94.8255817755379,96.0809795933964,106.035426999266,105.041792266403,83.058230568704
Median,72.8818501104023,69.6343448803763,74.6593300042174,75,80.5309673635647,56.0319133666114
SD,105.98915476584,101.958811201833,100.345193993423,117.293478975806,108.808450128148,82.7736048469703
2.5th percentile,0,0,0,0,0,3.94451485239528
97.5th percentile,370.585272016859,343.766311391398,328.982596933772,387.936050289813,364.594289395291,283.274283048291
Men 65 to 74 years,,,,,, 
Arithmetic Mean,144.517787417891,120.887618106388,128.523390465862,126.981955953558,133.066520446527,114.79564230071
Median,122.761246062682,99.2629706845857,95.3414752914643,80.8962758180473,108.180268699072,92.7147071096252
SD,120.35756077409,115.120213155708,124.74733510466,138.800766635161,113.139549979064,110.931936612724
2.5th percentile,0,0,0,0,0,1.91274427651338
97.5th percentile,420.644212863571,370.500086337706,465.225319205467,478.012507570749,392.646409706398,395.049654877106
Women 65 to 74 years,,,,,, 
Arithmetic Mean,136.915846000035,150.980460427339,146.565687300879,137.048224579953,130.567954441016,119.903252479902
Median,105.678501041837,105.184103764466,109.912142852644,115.106056919152,108.875879265943,104.368152820905
SD,123.524826349772,142.410196003364,107.104071431471,115.481464905757,111.139335414668,97.9332737486654
2.5th percentile,0,0,0,0,0,4.71579178207266
97.5th percentile,398.021560794967,493.938623324689,376.852567852788,463.812393399842,340.740920106337,372.332996412705
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,140.352715661129,138.58141794246,138.034042336947,132.42441027591,131.744054744162,117.455315890003
Median,116.506178967362,103.803688064713,103.065107723796,90.3238160027874,108.494636841063,103.400920574066
SD,121.844351891617,132.416768839032,115.813764821934,126.423793906392,111.8742787284,104.245997030422
2.5th percentile,0,0,0,0,0,3.59314758122142
97.5th percentile,418.530292622372,444.819180850268,391.846837636682,478.489559757658,373.609160133253,391.943563194358
Men 75 years and over,,,,,, 
Arithmetic Mean,101.161148717402,117.078990737686,106.30446641717,104.633602821619,102.713486382443,119.034621311714
Median,68.2973301360283,104.113684383692,75.9987989601327,86.7331960102461,99.109395073125,102.846827307997
SD,99.1619134738309,98.1327419473609,98.4701327285833,108.564701049647,81.7717366588815,87.8906103994455
2.5th percentile,0,0,0,0,0,6.56862370576077
97.5th percentile,386.496631218939,344.175599362705,346.885546406431,386.783555975113,292.068971593523,323.011666350698
Women 75 years and over [note 4],,,,,, 
Arithmetic Mean,121.50609177226,120.358511118143,118.261466699931,95.2804202878078,115.994486902822,125.854758182563
Median,111.588969397553,107.509568580588,101.060773318471,54.8825296235365,88.5801027381046,99.234641997521
SD,89.316130238641,84.7362303717817,106.71955725093,112.580855608564,105.600730185282,111.371121864917
2.5th percentile,0,0,0,0,0,5.65193979902011
97.5th percentile,337.996107490365,315.122470113836,403.09201527298,331.983261236146,387.919355078481,401.177577906753
Adults 75 years and over,,,,,, 
Arithmetic Mean,113.262828236841,118.723849940994,113.420799920781,99.407569931433,110.278455878553,122.928862506581
Median,97.3412259515713,107.520192281458,97.8554284081939,69.2548518789493,93.4839406671102,102.818845412325
SD,93.6625973898127,91.3774285932665,103.211869401413,110.566236907824,96.06291953452,101.816809935025
2.5th percentile,0,0,0,0,0,6.01798320410126
97.5th percentile,369.959285904727,319.819192147942,400.291143015094,376.870922198445,371.203704002747,375.255091740456
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
[note 1] Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years. ,,,,,,
[note 2] Years 12 to 15 is based on 4 survey years.,,,,,,
[note 3] Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
[note 4] The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
