"Table 4.12: Disaggregated foods; Total fish (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
97.5th percentile,56.6683323610809,69.1744860863892,71.3273130234519,59.1502074529423,57.1172241533313,50.6182486494817
Men 19 to 64 years,,,,,, 
Arithmetic Mean,23.5651389935081,22.2802209178898,22.2584070883275,23.1724221939392,23.6036882034331,18.221339101146
Median,15.5538922365218,13.1372624605309,7.95615639602374,13.7326251115872,11.1542676989615,2.93014151761424
SD,29.4141317545137,30.4092078895783,32.8433148808238,31.875133175505,33.0063618305155,23.826366129462
2.5th percentile,0,0,0,0,0,0
97.5th percentile,97.3971281147661,107.409659037518,109.232896471766,109.060807775028,113.264756943083,77.6853083175092
Women 19 to 64 years,,,,,, 
Arithmetic Mean,22.2509007712569,21.7353040720346,19.999442603287,19.8331805596404,21.2384762891493,15.6519872126881
Median,14.9987180859298,13.1625,9.9665395362172,12.3232970504303,11.5853663088271,8.34287527529103
SD,27.1030070489838,28.5417475832397,26.9846800723023,25.6241411628549,27.6732337640974,16.2893058465411
2.5th percentile,0,0,0,0,0,0
97.5th percentile,93.723763244092,104.664128029673,88.7519486784784,87.6909378422017,98.111819843091,60.4302134434154
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,22.903514849616,22.0075149894621,21.1213144870137,21.4906990640262,22.4161385213026,16.9075959502491
Median,15.1385223214065,13.1625,9.45041441943063,13.1289950067842,11.3794508055694,7.33570124902607
SD,28.2698647658116,29.479530981253,30.0400187526503,28.9296513654622,30.4562470031577,20.3581525461059
2.5th percentile,0,0,0,0,0,0
97.5th percentile,96.8034555112348,107.287162478346,99.0807009838334,91.8354652643256,105.944749867919,68.805976361073
Men 65 to 74 years,,,,,, 
Arithmetic Mean,38.1239993165252,37.3666046379362,30.9981226398373,34.3102558989884,31.4719551822504,20.2319493585993
Median,30,31.25,23.2277028950891,21.3709711071885,26.2880659855599,12.2900098424503
SD,37.1547136093248,37.7340354142886,33.9544979343685,42.7985213931793,29.8941300911971,20.3291405577965
2.5th percentile,0,0,0,0,0,0
97.5th percentile,143.739612122349,133.037425270523,123.339269331589,169.277443072439,89.6359987547468,66.9088563041624
Women 65 to 74 years,,,,,, 
Arithmetic Mean,30.5509179117562,26.1536427269398,26.2985981918343,25.9052046770095,30.2308743383962,20.2021386364999
Median,26.4245873877058,17.3744687752747,17.7631056953825,24.5745981237907,22.4746045307396,17.2450594797925
SD,29.5203936599372,29.0824026730287,31.5919128958687,25.1986804717359,37.0984149068062,18.9184935486108
2.5th percentile,0,0,0,0,0,0
97.5th percentile,99.2917897085048,89.1681172422495,114.308402230703,83.7848512335102,160.570312976746,59.53978332355
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,33.9747398396535,30.7736779377376,28.5208581655124,29.7659595911484,30.8150636507723,20.2164260928324
Median,29.0848773176445,22.2156343820792,20.8420118852593,22.3336447475814,25.0102252459119,16.09783400304
SD,33.3154970120787,33.3055251849554,32.7265992177105,34.5521336765466,33.8415087814314,19.579142527258
2.5th percentile,0,0,0,0,0,0
97.5th percentile,102.133284224848,122.123035927749,124.278129552359,95.0175401846482,119.036173964988,64.1742951535961
Men 75 years and over [note 4],,,,,, 
Arithmetic Mean,32.7008623057178,35.2345811942137,26.4455553431449,25.6303653487767,22.6863545090062,22.6038531831804
Median,23.5669438685181,24.3638049956291,19.1845120457127,24.6949638005959,15.8401726176139,19.47866088216
SD,32.1211189148976,42.9425689094499,26.1967706676889,26.9597905298559,25.8374446009555,18.048639166048
2.5th percentile,0,0,0,0,0,0
97.5th percentile,106.38054488966,133.824766409343,64.6726706838515,77.5793697454915,82.8692840036214,60.8077292217592
Women 75 years and over,,,,,, 
Arithmetic Mean,26.0915839933997,25.1056003691766,25.5299923365011,18.0084623286541,24.239370806543,21.2273564049647
Median,21.2643400753308,17.4180383688459,20.9760740419802,10.4069586648681,25,12.5397391355186
SD,24.3816569480334,25.9864679987647,24.3155882080764,23.052360404449,19.5550130306233,19.0523369354207
2.5th percentile,0,0,0,0,0,0
97.5th percentile,85.7435406896248,90.6364212995805,78.2550082156142,81.6845095467975,59.9355186222393,67.8193786726244
Adults 75 years and over,,,,,, 
Arithmetic Mean,28.7694987342008,30.1543421966227,25.9006484647667,21.3716741786883,23.5709656420153,21.8178850186351
Median,21.4870661201061,21.6123363379708,20.9007929467089,14.9399213368554,21.4192041731668,15.5734753555147
SD,27.8709942435324,35.7065714116986,24.9903237135044,25.0584314281261,22.4205542282473,18.6026243772591
2.5th percentile,0,0,0,0,0,0
97.5th percentile,99.4281399765021,108.552171551739,77.7008701322938,87.2740669330277,73.3681390022814,67.3456459366973
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
[note 1] Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years. ,,,,,,
[note 2] Years 12 to 15 is based on 4 survey years.,,,,,,
[note 3] Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
[note 4] The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
