"Table 4.13: Sugar-sweetened soft drinks (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
SD,266.960056214459,241.6833981076,280.228116071875,318.718028093226,244.864537543458,257.975903414308
2.5th percentile,0,0,0,0,0,0
97.5th percentile,921.222331418127,850.504667286556,765.346105958444,1020.74225184402,801.918296778157,768.287496919698
Women 19 to 64 years,,,,,, 
Arithmetic Mean,113.986115125235,110.001338543891,95.8501987863332,100.268969444774,93.2887822633339,69.6696978507281
Median,14.1866922204982,0,0,0,0,7.28942951299609
SD,202.741320920944,205.957977021768,214.345014084686,216.561714669001,250.349511648907,139.207842716364
2.5th percentile,0,0,0,0,0,0
97.5th percentile,657.05131852776,689.519095613282,637.5,750.880564020679,742.182006981398,474.87707197487
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,137.571831080683,133.300137835033,132.056166588484,129.349633081613,105.960689248189,88.2376511434384
Median,41.25,25,0,0,0,2.59231991507191
SD,237.900287460488,225.637723270707,251.747349628124,273.531821259552,247.866578773527,206.787513787663
2.5th percentile,0,0,0,0,0,0
97.5th percentile,849.265520206438,723.753349100975,754.378951828007,844.070439864348,782.710884814989,542.250251666808
Men 65 to 74 years,,,,,, 
Arithmetic Mean,37.8979027656799,82.9512847714109,47.3791179524362,41.0015864847839,28.5940934523183,21.7691754730715
Median,0,0,0,0,0,0
SD,72.6601300979674,217.541666939735,105.855252704268,86.5909463561358,76.0533453595517,45.5196285140631
2.5th percentile,0,0,0,0,0,0
97.5th percentile,220.598689813877,536.096379647645,326.911696301409,273.673785339035,233.305527007359,176.057772144079
Women 65 to 74 years,,,,,, 
Arithmetic Mean,55.3707300766265,46.4625367610235,33.078585603905,51.0303233076741,33.2850361254551,24.6329655646406
Median,0,0,0,0,0,0
SD,84.7869485801781,87.139655797237,77.5274156073099,113.692286827713,96.8304398205372,62.7101979512691
2.5th percentile,0,0,0,0,0,0
97.5th percentile,282.369483362081,287.510795999354,266.092535187935,271.389530278417,289.276227097826,251.577317416456
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,47.4711914222673,61.4968606037357,39.8408657009762,46.4237487670774,31.0769619390023,23.2604300137675
Median,0,0,0,0,0,0
SD,79.8082003782051,155.393851145311,92.0262401938114,101.995540192022,87.5360812604007,55.0878007554108
2.5th percentile,0,0,0,0,0,0
97.5th percentile,242.844641360495,324.02867203417,348.173500172353,283.510440995526,268.469020525018,192.796829393216
Men 75 years and over [note 5],,,,,, 
Arithmetic Mean,47.111140931327,45.6918071138305,22.4994065968638,42.8430271482541,50.319638934365,27.7209519625082
Median,0,0,0,0,0,0
SD,103.607353514285,131.933973378178,81.1708702143867,127.904333240711,110.941553023703,52.3500480569858
2.5th percentile,0,0,0,0,0,0
97.5th percentile,292.455349224702,256.699520769823,200.768980281981,342.120733427183,372.189746617596,173.958208475184
Women 75 years and over,,,,,, 
Arithmetic Mean,65.2854132424989,34.7119575814613,43.6169976862978,23.2651690495333,28.7404993483423,30.2633582071323
Median,0,0,0,0,0,0
SD,110.889296684438,79.7430406950954,91.8514969209227,53.3310760971819,79.2174205945657,94.6193907213913
2.5th percentile,0,0,0,0,0,0
97.5th percentile,277.06962528229,312.935977777603,261.298999778323,165.691470602302,276.712270109259,226.450632615177
Adults 75 years and over,,,,,, 
Arithmetic Mean,57.9216513572241,40.1848108280696,35.0677613205789,31.9040200270476,38.0279796975433,29.1726446952773
Median,0,0,0,0,0,0
SD,108.044963465871,108.691055627874,87.956733670023,94.009386727228,94.5087535762804,79.1578642188889
2.5th percentile,0,0,0,0,0,0
97.5th percentile,284,306.4726343101,261.060039069764,293.543955505964,284,210.539415509995
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
[note 1] Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years. ,,,,,,
[note 2] Years 12 to 15 is based on 4 survey years.,,,,,,
[note 3] Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
[note 4] Food group 35.1. Please refer to Appendix R for a full description of food groups.,,,,,,
[note 5] The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
