"Table 4.15: Chocolate confectionery (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
97.5th percentile,57.87482454201,51.5,62.4084125566873,56.7212753149404,46.7710161659812,51.8372661936244
Men 19 to 64 years,,,,,, 
Arithmetic Mean,11.0830615502194,9.36432836973071,10.7997610536292,8.35049250544134,9.45326838286199,8.14379261677838
Median,0,0,0,0,0,0
SD,23.5627568208536,17.339598488596,18.2100801847337,14.5263714001086,16.7732675130507,15.7738928261583
2.5th percentile,0,0,0,0,0,0
97.5th percentile,64.3051179111394,59.2578987176044,64.3239419559542,49.2183734720814,54.4380646757826,51.3055395969557
Women 19 to 64 years,,,,,, 
Arithmetic Mean,7.86623023294724,6.9952804865558,8.14550500368851,8.17002858591117,7.72812243635434,9.23517446829821
Median,0,0,0,0,0,1.24685248555668
SD,12.3866308560416,12.9067098984062,15.5571036633278,14.7359602917774,13.0368862614419,13.0399126756171
2.5th percentile,0,0,0,0,0,0.447273042155782
97.5th percentile,36.3115137278562,42.3822389661209,49.2132773069743,41.5882546965011,43.6314263364422,44.0994302467371
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,9.46361902427383,8.17872838803978,9.46369094877171,8.25960649573442,8.58708953942243,8.70183040011521
Median,0,0,0,0,0,0.888146430236461
SD,18.8463627684341,15.3223902721433,16.9683733495913,14.6254660240992,15.0324790932207,14.446141593736
2.5th percentile,0,0,0,0,0,0
97.5th percentile,52.7599855274284,50.3567511103239,57.7024313885762,47.0942256063829,50,49.476130925462
Men 65 to 74 years,,,,,, 
Arithmetic Mean,5.85182535497873,2.42800352499754,5.56227530577785,8.55192356787744,5.95598417694053,5.41577114290472
Median,0,0,0,0,0,0
SD,13.1220000194805,5.7822570630213,13.1737025179022,16.9175243182596,13.2760373640494,12.7152736234935
2.5th percentile,0,0,0,0,0,0
97.5th percentile,58.4253866232207,17.9425168946831,43.2588332194793,41.4091182060969,32.5711835304421,36.9846347414665
Women 65 to 74 years,,,,,, 
Arithmetic Mean,3.65568992599719,5.68941197651035,4.6160956921909,3.99792831709808,6.11514596527716,5.7128371323657
Median,0,0,0,0,0,0.258790924264059
SD,6.8886639640442,13.7685674173203,9.06020170432845,6.98809411153954,11.6831661387993,10.732625297009
2.5th percentile,0,0,0,0,0,0.0444212563658302
97.5th percentile,24.6060416672921,60.6688883832758,25.9584850215441,22.4065951122371,31.5145923207737,35.5042696526063
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,4.64857198238761,4.34562591869758,5.06351481011421,6.08974894722533,6.04022690086217,5.5704616025771
Median,0,0,0,0,0,0.169002552130209
SD,10.2204563772478,11.2874461574203,11.1720731462473,12.7208036051472,12.433798226161,11.7086716820061
2.5th percentile,0,0,0,0,0,0
97.5th percentile,26.3792375465275,29.9163082397968,31.1244758858266,37.4442377890831,32.5805831391466,35.8623993501119
Men 75 years and over,,,,,, 
Arithmetic Mean,2.7290506942589,4.31253807155487,3.58287388482476,5.67773749566013,3.07350529227465,4.1106095443154
Median,0,0,0,0.202121635722791,0,0
SD,7.09679250192543,12.2065888148248,7.88961104133118,6.99856293202038,6.2574883217721,8.45548380508864
2.5th percentile,0,0,0,0,0,0
97.5th percentile,31.1413850439854,41.7949997805781,27.1521100148084,21.1516103798201,20.0975925707767,26.1819976766515
Women 75 years and over,,,,,, 
Arithmetic Mean,6.63458653948754,2.85463369313475,5.51688212863055,2.99602774890261,3.58457220713973,5.1487510729734
Median,0,0,0,0,0,0
SD,15.1328260976724,4.82640751849864,10.1035931300066,6.09758944575192,7.86374736341281,10.1119618099264
2.5th percentile,0,0,0,0,0,0
97.5th percentile,41.1687403905766,14.3219503595535,26.6200386032187,22.0004980297747,27.4513540221648,35.7048461720842
Adults 75 years and over,,,,,, 
Arithmetic Mean,5.05216081667109,3.58131912604152,4.73391907477081,4.17934876136309,3.36461330145608,4.7033796871379
Median,0,0,0,0,0,0
SD,12.6341227818043,9.2659394853453,9.28559657956754,6.62488542797208,7.20295766360628,9.43217917408494
2.5th percentile,0,0,0,0,0,0
97.5th percentile,39.5220505367095,33.2971147370467,31.7636460455603,22.4961720734927,20.6945156749889,27.3773754328717
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years.,,,,,,
Years 12 to 15 is based on 4 survey years.,,,,,,
Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
Food group 33.3. Please refer to Appendix R for a full description of food groups.,,,,,,
The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
