"Table 4.14: Sugar confectionery (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2.5th percentile,0,0,0,0,0,0
97.5th percentile,15.5837726620306,19.3990537285282,32.5768672781601,29.2112240071507,26.3429338613901,13.480900570076
Women 19 to 64 years,,,,,, 
Arithmetic Mean,2.1216208322865,1.55210095066498,1.79524655705049,2.41552554484959,2.82705242166573,1.88904632031301
Median,0,0,0,0,0,0
SD,7.6315960657532,6.16116805480953,8.61427615527196,9.15763192662167,8.91620468653679,9.09895555176549
2.5th percentile,0,0,0,0,0,0
97.5th percentile,22.4613348567467,16.1826419722738,17.5,23.2827182232912,30.0997803777673,22.510405963123
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,1.81668361820674,1.69607492586846,2.24416105058421,2.24658541029196,2.53034215990615,1.84870351658516
Median,0,0,0,0,0,0
SD,6.95085045372687,7.18105428550428,9.97168031118093,9.1730808812647,8.68530642503205,11.3487662692689
2.5th percentile,0,0,0,0,0,0
97.5th percentile,20.3978786163192,18.4270208843204,20.5823143361261,25.7673336713393,27.5,21.7788899659848
Men 65 to 74 years,,,,,, 
Arithmetic Mean,0.326153921677095,0.453321494647733,1.05794022571024,3.80295871113053,0.99244639651972,0.332505631725794
Median,0,0,0,0,0,0
SD,1.94642388313734,2.09960350659364,3.67659585100647,14.0281343461263,4.40746342125256,2.24727851310485
2.5th percentile,0,0,0,0,0,0
97.5th percentile,1.6299606858756,7.50828242672381,11.6361652608807,34.0965657549269,11.7586903289406,2.5
Women 65 to 74 years,,,,,, 
Arithmetic Mean,0.742605180838177,1.83746477206644,1.58809021798053,0.566957681556185,1.11682654350925,0.964103350790902
Median,0,0,0,0,0,0
SD,3.92445174525339,6.56367833457244,4.09949483912967,1.79952086802134,4.35853421273395,5.99686245339193
2.5th percentile,0,0,0,0,0,0
97.5th percentile,7.83582405107546,19.4158919489407,12.8511913532005,6.62939417209463,11.4538793738439,10.0034314845352
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,0.554325816494062,1.26716133848462,1.33739865952537,2.0533741883846,1.05827954965074,0.661395996009798
Median,0,0,0,0,0,0
SD,3.18524377202532,5.24654388084614,3.90436677201876,9.69401491613137,4.37356605961805,4.60359310911352
2.5th percentile,0,0,0,0,0,0
97.5th percentile,9.13028422025957,17.9117227665071,12.8959634107661,24.3421633098927,12.0487605529359,9.54225604186283
Men 75 years and over,,,,,, 
Arithmetic Mean,0.369865591085147,1.93818212356896,0.145797445956608,1.00566848018418,0.313812530216649,0.870131722554438
Median,0,0,0,0,0,0
SD,3.33192706306712,9.12967297056744,1.13188410362561,4.7544481476065,1.42776856503098,4.69678997570465
2.5th percentile,0,0,0,0,0,0
97.5th percentile,0.322614771949409,25.8012534332084,0,9.85472677800733,4.87464461554724,9.89017671080016
Women 75 years and over,,,,,, 
Arithmetic Mean,1.03075570356699,0.781713862577976,1.04094555567513,0.723733220282645,0.853398811956256,0.40836595108941
Median,0,0,0,0,0,0
SD,3.99205230151681,3.06887861764739,3.52731315435571,3.87063283002294,5.27087245881566,1.95540678095477
2.5th percentile,0,0,0,0,0,0
97.5th percentile,11.5189964856165,7.9813621072372,9.70144284283009,9.99416698244051,3.5,2.9934486297031
Adults 75 years and over,,,,,, 
Arithmetic Mean,0.762979512183681,1.35814991100515,0.678554185376312,0.84813889751836,0.621165410416881,0.606467323485744
Median,0,0,0,0,0,0
SD,3.74221061827076,6.80166521656125,2.8412628876601,4.27099352536992,4.08793970884251,3.41218238006924
2.5th percentile,0,0,0,0,0,0
97.5th percentile,9.35561247537057,20.7000153371926,9.30335020740003,10.4221983590091,4.37975180030121,5.47566868249334
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years.,,,,,,
Years 12 to 15 is based on 4 survey years.,,,,,,
Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
Food group 33.1. It was not possible to calculate a usual intake for sugar confectionery so the day average was calculated instead. Please refer to Appendix R for a full description of food groups.,,,,,,
The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
