"Table 4.9: Disaggregated foods; White meat (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2.5th percentile,0,0,0,0,0,0
97.5th percentile,118.465104720571,119.698876511615,135.740411807632,122.744309560146,121.863330194088,116.981869196763
Men 19 to 64 years, , , , , , 
Arithmetic Mean,43.2916917445107,43.4144260446197,41.5944658882423,53.6631927870452,47.0254416724752,48.7287713807407
Median,28.8714421562013,35.9577606270557,32.5,40.7676820187121,34.6770019685063,44.0026748014125
SD,68.6807251230614,40.5237525934182,40.4147410603689,49.6663787496451,46.2693070581108,34.8607647966881
2.5th percentile,0,0,0,0,0,0
97.5th percentile,148.812845344809,145.496258372616,132.349450775294,181.147065563553,149.596317007057,132.297730693601
Women 19 to 64 years, , , , , , 
Arithmetic Mean,32.3090441398705,33.7899796292614,31.8040514030212,38.1826333208754,37.6883918064016,30.9471078866546
Median,26.1944082815341,28.0816517745005,26.6078319724554,32.5,29.8219425777977,27.7068258088275
SD,32.9221269133569,33.4680071444183,30.0606168251659,38.2776746196811,40.4761886086412,23.6487544002456
2.5th percentile,0,0,0,0,0,0
97.5th percentile,111.007988890647,123.149222051867,99.0017798995484,131.112511416753,144.596352538286,81.0963014113312
Adults 19 to 64 years, , , , , , 
Arithmetic Mean,37.7627208957965,38.5978313379978,36.6662751403452,45.8668073290885,42.3374005994834,39.6367747835251
Median,27.8280072558041,32.5,30.7044284985768,35.6847388118064,32.5,35.6129040585867
SD,53.9938325953541,37.4564975639083,35.8941726786942,44.9468818968345,43.6901609972085,30.9560412430978
2.5th percentile,0,0,0,0,0,0
97.5th percentile,130,133.809768782826,120.987745500866,162.468395767611,147.657210521344,109.98929042686
Men 65 to 74 years, , , , , , 
Arithmetic Mean,29.041454770777,27.6921935394791,27.1984644648101,32.5850211247598,32.4406718015096,28.340148150375
Median,7.95341119231357,22.456607601973,25.4020869348536,28.17156359986,22.0488027891271,25.1369745551993
SD,54.1923500736156,35.8461506319289,29.7835385221818,33.6284796393813,38.2239855583984,21.9364161902443
2.5th percentile,0,0,0,0,0,0
97.5th percentile,108.671571132858,75.5301570514477,83.6540179279562,105.854416133004,118.431060014674,78.3282318529137
Women 65 to 74 years, , , , , , 
Arithmetic Mean,25.5825665160796,25.0772555085484,30.9890949193249,23.9431037372469,23.67979102828,28.371085584703
Median,22.1623227880014,16.5829398299892,25.2210502744752,22.0610756411523,17.5273552018931,23.24550207
SD,30.4233408400947,28.293155148555,29.3030837522829,24.3488536802277,28.1135208698378,24.0962038027753
2.5th percentile,0,0,0,0,0,0
97.5th percentile,111.885673100862,91.0972933989541,93.2375878875954,74.5906959745263,94.3613394002899,83.2276201354713
Adults 65 to 74 years, , , , , , 
Arithmetic Mean,27.1463444315159,26.1546787507612,29.1966228453359,27.912660155199,27.8036262643698,28.3562581262964
Median,20.774676302674,17.5,25.5865225097548,23.960346674067,20.1840715252354,23.24550207
SD,42.7493335934173,31.5740356124328,29.5140732520594,29.2065691485699,33.4770592054588,23.0539751759545
2.5th percentile,0,0,0,0,0,0
97.5th percentile,113.785753235104,89.6975178759625,89.980745805077,101.978698138237,113.517166391188,80.3047382918812
Men 75 years and over, , , , , , 
Arithmetic Mean,17.0697414724784,15.3791822706799,23.0093654461563,20.211496608141,25.1092750805296,21.304365775915
Median,7.30051364305676,2.3609740692521,15.9180878600042,13.4532522707455,9.02619463878631,18.7287925545797
SD,23.6572564342811,26.6315837635587,25.4413226678965,24.5037562336316,31.6635710063053,18.4026723170154
2.5th percentile,0,0,0,0,0,0
97.5th percentile,75.6812066459046,77.3550392987313,76.4301879071551,100.020501422875,101.321892563926,62.6113530516617
Women 75 years and over, , , , , , 
Arithmetic Mean,20.0562332094837,16.3187567680404,17.010229817908,25.2839397710679,21.2199150850066,20.78550158336
Median,17.5612630358038,5.67694024452021,2.87685522432932,20.9654402125427,16.2485451942355,13.1415638159054
SD,19.9050963562137,23.6005683389824,24.7294626935303,25.5859141272523,23.0621183316414,21.60591894416
2.5th percentile,0,0,0,0,0,0
97.5th percentile,65.8220328425664,64.9973567185206,80.6224786335789,69.317062851768,81.201356721526,79.5127674559871
Adults 75 years and over, , , , , , 
Arithmetic Mean,18.8461812389226,15.8504303740265,19.4389172689858,23.0456928517432,22.8938629449475,21.0080986552615
Median,10.2802502343879,4.4031967081687,8.75023034342211,19.6446602774342,15.9146025532741,17.5366954541983
SD,21.48225675998,25.0806865720525,25.0894845029169,25.1601985208666,27.0867178362759,20.2545925080204
2.5th percentile,0,0,0,0,0,0
97.5th percentile,72.1968151176911,79.9418340248793,79.9459620397643,84.6108438857762,97.7356328284726,66.8069440815072
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years.,,,,,,
Years 12 to 15 is based on 4 survey years.,,,,,,
Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
