"Table 4.10: Disaggregated foods; Total meat (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Median,93.5747334233383,92.2256467026893,91.3567995530112,94.5680214543826,90.2510347662931,90.9484218638525
SD,57.1481969969529,55.2177786984895,55.138938717394,60.007608618652,51.4976339409382,54.7876040601377
2.5th percentile,0,0,0,0,0,11.9303698712412
97.5th percentile,232.775283603576,223.199890023208,229.451668124604,230.792137545451,218.661911378497,231.084032239145
Men 19 to 64 years,,,,,, 
Arithmetic Mean,134.061899067745,124.963783921786,125.837926334863,131.032152263824,115.721498181493,113.068944342922
Median,127.801761478649,118.518133433483,116.121429958035,123.761789711845,110.967431200827,111.901848237293
SD,87.7794174686904,67.5645786673524,65.8484112266137,73.5955873621465,75.9146600567333,59.4503164174332
2.5th percentile,0.287608845616298,0,0,0,0,13.8967194478586
97.5th percentile,308.69630386903,264.372425041087,291.658817544086,290.166273354202,294.798067879064,239.558700728764
Women 19 to 64 years,,,,,, 
Arithmetic Mean,90.1093358429496,87.3085799727003,78.4556831596535,85.5782349674713,81.6200124157608,71.4768529436381
Median,87.4590897386554,83.913162334099,73.0370878318417,80.4998396059544,77.4462812243029,72.2596431877528
SD,53.7201046428977,52.9021416076441,48.6278066072164,54.3665505295658,56.5219309084499,42.6472991442562
2.5th percentile,0,0,0,0,0,8.72282919884363
97.5th percentile,202.712496635452,192.937336207526,182.3277849464,216.285557169057,199.987257721129,161.435374157607
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,111.934953949946,106.119078658632,101.987175911394,108.14045635381,98.5994769635613,91.8023652290419
Median,105.88678245767,99.9528487453859,97.6303993386065,99.122032179406,91.3361522348645,85.0975340517903
SD,75.8772705651701,63.5041519241721,62.4595841371254,68.4805824366079,68.9976168857536,55.5681110311146
2.5th percentile,0,0,0,0,0,9.5763805979366
97.5th percentile,253.905203519015,257.772698142976,233.924171638504,261.599123417825,270.808034088006,212.594577207459
Men 65 to 74 years,,,,,, 
Arithmetic Mean,107.060481766778,104.311320291203,111.245096664243,105.516879914747,98.6204198494253,89.8168072132139
Median,103.205438643346,101.455378223397,104.385005563815,104.078105139026,88.6195368575537,86.4808038038864
SD,63.5358404715449,56.8662450749885,52.6578388092195,44.3750055117246,51.3652091823949,44.7463533817894
2.5th percentile,12.1003919821068,8.55886978478011,2.41655669087887,0,11.1229765715943,10.11868097753
97.5th percentile,199.004147229498,220.40329627938,198.899738319201,203.601571049111,211.442045150627,182.930482321255
Women 65 to 74 years,,,,,, 
Arithmetic Mean,85.7975818442142,79.7613271567742,84.5949893722697,77.8022531336643,64.4299020434457,73.3923712485103
Median,83.3219271952637,74.869499487672,77.0765867870633,72.4182810747468,58.7914339918633,72.4501671390385
SD,43.6046968845042,47.1951869913084,35.4283681151937,45.7497857460301,41.2669933295165,38.1457491602357
2.5th percentile,12.7283066478139,0,23.28524586014,0,0,10.0791773575148
97.5th percentile,199.082698013761,161.943902082656,167.429521694118,169.944326372154,151.974873567233,150.430142214931
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,95.4106282535284,89.8765699986027,97.1970020619466,90.5326195184392,80.5237247672173,81.2641500953471
Median,90.025094526154,84.7672814096104,93.0655058277979,86.9979204423841,75.0610614847513,78.0136314551387
SD,54.4390828968028,52.6888702203121,46.2489402388075,47.075492166547,49.2641211119518,42.1883967125547
2.5th percentile,13.5901502611995,1.85964560474968,23.2107262182597,0,0,10.3481291867544
97.5th percentile,217.510551943254,198.908377921126,192.363192156964,187.206246735537,196.993365184496,178.083546121612
Men 75 years and over,,,,,, 
Arithmetic Mean,88.3936777331026,88.0739858989519,97.1186173449479,86.5226749904756,83.5407144868926,84.2811187175871
Median,89.2635536778125,74.6099427672952,96.4408216986329,80.4634948139357,82.078698875074,82.5745012417117
SD,42.05332036694,54.4405571787754,35.2343781878055,42.6337417692527,44.0085513667896,39.4128616652541
2.5th percentile,14.7992549541482,0,11.725,0,0,14.4553846802573
97.5th percentile,165.858709809311,213.152729775553,160.616933589431,176.66862551291,169.338400381203,149.701912950076
Women 75 years and over,,,,,, 
Arithmetic Mean,71.6576695104442,63.551381304409,77.9315763087709,68.5381896564154,61.5340887376324,64.1024974318897
Median,69.7149215219493,55.6933726347425,78.8692877369344,61.9129811636881,56.0530740301328,63.9642451807108
SD,35.1141331829071,46.9608948246788,37.3457070416161,34.5176658522555,32.3177713235118,26.1276379769441
2.5th percentile,0,0,10.3005752961583,0,3.67731267196477,15.4696472446106
97.5th percentile,137.360328673211,149.304683487823,156.69627723361,141.98466248529,141.431700770402,119.998796572292
Adults 75 years and over,,,,,, 
Arithmetic Mean,78.4386826564781,75.7745557454503,85.6992496329835,76.4739550463172,71.0055555393422,72.7592944852531
Median,74.77481979297809,65.5014819197352,85.3023451079173,66.9278173710741,67.0176627726661,68.6801001985875
SD,38.8339380379511,52.1339797165869,37.5672951168361,39.2188497055929,39.2316627735412,33.9349550041994
2.5th percentile,0,0,11.5799114804452,0,0,15.8183786896229
97.5th percentile,153.151817750308,200.831770949442,157.687861083167,165.879695650479,156.993062610606,146.851166628355
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years.,,,,,,
Years 12 to 15 is based on 4 survey years.,,,,,,
Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
