"Table 4.4: Disaggregated foods; Total fruit and vegetables (not including juice) (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Arithmetic Mean,178.29668690656,161.203090359927,173.792764841418,167.966488014852,189.056298585231,172.319088450068
Median,158.427105704338,144.160061703809,155.789349550588,147.308027090064,154.880044500267,150.13865837624
SD,114.740052511337,104.996223439934,110.455391688001,109.034247057448,130.147648974265,115.077369364837
2.5th percentile,7.4569704574156,14.3486719337858,12.5163656489071,15.4926967221466,29.424863276517,16.4197120180348
97.5th percentile,456.087455581065,392.209102810971,419.666010363622,416.66377624748,541.453720424239,451.894434869455
Men 19 to 64 years,,,,,, 
Arithmetic Mean,284.858426306906,266.59189047342,270.345209677534,299.023335191522,314.356753266889,214.918777435028
Median,246.496980141066,229.844748869972,232.729933976239,259.988309941799,269.268162951031,189.92202199242
SD,182.034204713437,162.431125889149,173.070705566743,208.641372447755,208.212730264552,144.062098936354
2.5th percentile,46.7141919251825,34.9773218029134,38.7998000458085,48.150804685684,52.4615684548274,27.6601298766
97.5th percentile,742.705847921605,636.978764809505,654.173486663938,825.878974724224,889.708004406791,597.455782152969
Women 19 to 64 years,,,,,, 
Arithmetic Mean,286.258463455335,280.208086643763,286.382421776739,296.175822524077,308.666385935354,246.593043314512
Median,257.778901002492,246.919841601308,273.596893682721,251.221079940254,278.539966149273,213.329853191544
SD,167.19756750202,174.295790713351,168.089910226862,180.519104443497,196.301698640181,161.365659312749
2.5th percentile,48.2657310474963,29.7883694050778,31.5989597954604,43.04147639568,36.4800044817838,41.9705052779854
97.5th percentile,644.549859415062,646.212894775641,688.684525301138,711.751405766987,777.253020457697,624.966193984902
Adults 19 to 64 years,,,,,, 
Arithmetic Mean,285.563244021125,273.406173141556,278.417844437605,297.589258703503,311.499675693856,231.114242931906
Median,253.631988744298,240.595481808001,248.795052012073,254.869229855052,274.034305744857,200.136422710571
SD,174.649453984051,168.550201316588,170.671302223097,194.89142164829,202.260858892331,153.921941473486
2.5th percentile,47.8108483376249,34.6150266396462,37.4258093615829,45.5632478345269,40.0822462676834,33.8962610955572
97.5th percentile,712.996283775306,637.519974072331,679.629368078976,735.789028391042,811.513924399247,616.626756577222
Men 65 to 74 years,,,,,, 
Arithmetic Mean,368.2453975829,334.447617693674,316.89397892639,305.915517799233,329.134260518847,278.536994909649
Median,356.179540104741,314.034680973688,288.58127787594,234.316282133135,289.657068440632,246.73700211445
SD,191.299656800954,156.60860218774,180.501444555562,205.499970668265,180.407822323632,194.098052416448
2.5th percentile,80.0871087815969,103.177047724756,49.08765539788,21.3829130840556,22.3661342682222,30.6475235659338
97.5th percentile,821.830565875974,716.245812918838,655.328390193104,834.573745833325,718.321181750407,694.457374761184
Women 65 to 74 years,,,,,, 
Arithmetic Mean,330.13432622422,333.842388719668,322.796429415131,309.017436132664,328.30502374686,264.347507869551
Median,296.663886505335,299.249335898872,290.092146281807,289.950246648239,304.374761227584,234.052649146893
SD,162.37836892674,183.336574772605,168.494508658301,179.409710761607,192.264858570833,156.090624825055
2.5th percentile,90.3923441994776,33.9004656412077,74.3687324930275,49.1590395519641,47.3657550591356,29.3077988441216
97.5th percentile,719.855858145276,808.686860588188,656.246278774032,749.255121851795,739.129163563661,589.84814603468
Adults 65 to 74 years,,,,,, 
Arithmetic Mean,347.364501741855,334.091758974619,320.005342867359,307.592608831465,328.695353886934,271.148137380954
Median,330.895264556964,312.163145974243,289.53226275949,261.300640528725,303.835226269008,246.36340594145
SD,176.599237767243,172.464476374757,173.830252018514,191.242592262213,186.420876864375,175.22506059124
2.5th percentile,93.2388463700801,57.6415568250285,61.7886988870672,40.8877707559605,36.6989701100987,30.7756603395384
97.5th percentile,817.272477188583,755.856344524967,656.817152245156,805.066011438593,739.120319298617,632.299938347948
Men 75 years and over,,,,,, 
Arithmetic Mean,247.094395970791,290.7821152458,256.875027323701,260.283433619344,275.787041584666,261.201851612472
Median,202.195190329888,270.290893633915,208.757120312147,244.49628426132,278.153946832385,238.685140650869
SD,154.667744791055,184.675697408097,142.941889482786,164.074761043763,158.719561234331,131.861973900341
2.5th percentile,6.691875,41.323387687763,31.5869045490106,64.4418038722368,36.7775507467903,20.0837870340633
97.5th percentile,689.019845244087,780.823534676881,574.60671562431,642.491335119146,660.808390567087,522.191726293057
Women 75 years and over,,,,,, 
Arithmetic Mean,280.05183013668,296.263955227572,276.936398996652,228.303861363564,270.348726632216,249.560106520014
Median,280.921195288684,299.493067755113,227.740014300405,173.407850944636,222.017252354305,218.747544007602
SD,139.380769389123,145.962190227238,162.750236713422,176.609574508394,170.847621791831,154.774527965945
2.5th percentile,61.2985542487955,53.8075984756945,67.3389702476915,3.86562362810358,19.1082926749299,29.6461680166773
97.5th percentile,498.148232581754,541.500010740816,642.212905522023,541.050502854839,647.299221550427,635.152250099545
Adults 75 years and over,,,,,, 
Arithmetic Mean,266.698299750869,293.531558426215,268.814762038807,242.415045419004,272.689331689813,254.554512390738
Median,253.481057847343,273.449239820129,227.090823210816,191.533174042315,237.843900823904,227.117855981426
SD,146.195440054784,165.863212351234,154.742878555016,171.383480133499,165.32157113129,145.210574107044
2.5th percentile,32.3985378035045,45.3838829434157,60.8129327593807,28.367554641702,26.7505972481586,27.6503292359915
97.5th percentile,564.8506429647,741.249985197168,655.475638676965,639.281199985974,719.89026006867,619.007530710023
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years.,,,,,,
Years 12 to 15 is based on 4 survey years.,,,,,,
Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
