"Table 4.17: Buns, cakes and pastries (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
97.5th percentile,83.6690914908797,81.4639630041578,104.986087977983,94.9951129919448,98.75,61.3962733001459
Men 19 to 64 years, , , , , , 
Arithmetic Mean,17.3051623991998,17.9224372949813,19.2015444851438,14.4398377010654,18.247927204092,13.6723609979597
Median,0,0,2.14081524932147,0,0,0.757773536951292
SD,29.6685651188449,29.7884073966168,28.0011398155813,24.592893304133,29.8197720458088,19.8950656665198
2.5th percentile,0,0,0,0,0,0.274136874931651
97.5th percentile,103.30095209016,112.402718914276,96.4664642586875,78.7715055636001,104.271970818484,67.8138362724871
Women 19 to 64 years, , , , , , 
Arithmetic Mean,15.159660075825,15.4175487117461,16.1312841842325,15.6898545114007,15.8216237719225,15.0529402750162
Median,6.25,3.01024741361324,5.27367446699963,5.17160347605521,0.82892330241805,4.59355064373155
SD,23.423133915652,21.8522141148812,23.113439950473,21.6672712629006,23.2648603099901,16.5215865490721
2.5th percentile,0,0,0,0,0,1.58247668576471
97.5th percentile,71.9886509326871,77.1653399518907,78.2258709110724,77.039743186004,76.5895263156917,55.699556761576
Adults 19 to 64 years, , , , , , 
Arithmetic Mean,16.2250567426388,16.6688552633504,17.6560707535232,15.0693765044657,17.0297040705858,14.378269199032
Median,0,0,5.25,0,0,3.50422276682541
SD,26.7173107417253,26.1392543500324,25.6875047277604,23.1623663944122,26.7467237553164,18.2550446445723
2.5th percentile,0,0,0,0,0,0.308119285071523
97.5th percentile,83.6470771262027,90,89.8002700919805,78.0924426436616,94.0512229436423,62.8522083612328
Men 65 to 74 years, , , , , , 
Arithmetic Mean,27.7480723533872,22.5661409916232,27.2624423684356,25.0218403461847,21.1716341327494,16.8337241091843
Median,14.2260727441301,13.1387660745441,12.716686536534,14.5576178233105,0,1.24850226743048
SD,35.1983537608003,28.7794590717208,34.2704857562091,28.6317006961261,30.400061629056,20.7351954179636
2.5th percentile,0,0,0,0,0,0.401529322394609
97.5th percentile,112.764057177815,96.7612376902429,106.297256744358,100.515387934604,105.696908839197,70.0624834826533
Women 65 to 74 years, , , , , , 
Arithmetic Mean,21.9878902297504,18.9765040874971,24.4428745907867,22.0359481947389,18.5467734823547,12.347167553722
Median,12.2890932076523,12.4075535207685,16.8370573115508,15.1398621909986,7.21624952459082,5.12440790299561
SD,26.5470575169016,22.7994851957521,28.020979687648,31.2782550818651,26.5465466565536,13.5532238632434
2.5th percentile,0,0,0,0,0,1.53026296626915
97.5th percentile,97.4007315914321,76.863090712422,105.371621639908,99.4002180689699,94.7473714282507,43.3100502772924
Adults 65 to 74 years, , , , , , 
Arithmetic Mean,24.5920927741955,20.45552890027,25.7761611147039,23.4074803237328,19.782321952892,14.4974502827194
Median,12.5,13.3637505275811,15,15,6.14558024524116,5.08154712718327
SD,30.8118717178612,25.4343161746849,31.0771490557053,30.0430967878119,28.3992664205075,17.4885005617405
2.5th percentile,0,0,0,0,0,0.472599624788749
97.5th percentile,104.25259795501,79.6758174890554,105.935423376748,101.357953626926,97.0106316758275,61.4073108648968
Men 75 years and over, , , , , , 
Arithmetic Mean,26.6938444535903,25.8659423733771,22.0752139074486,25.3060789101306,23.9269665075458,26.1045509445166
Median,14.1473491090637,14.6258695508923,14.0077136638898,11.2838109619892,13.1520021166983,11.3816930759382
SD,32.9844579578682,30.9313168201612,25.4115942215993,30.9758848493525,30.710145830142,29.0976806224945
2.5th percentile,0,0,0,0,0,1.68416921925604
97.5th percentile,101.81246067396,110.097334872478,70.1686855528606,94.5658788146248,92.7568735205983,90.7046390583788
Women 75 years and over, , , , , , 
Arithmetic Mean,23.0679213791418,21.9344528403398,23.9973302083512,23.0661799623901,25.41762629157,21.5321288491623
Median,16.6589350713496,16.5169956270338,7.22644927705585,15,18.834747127357,14.5448964127352
SD,23.8633757811136,22.2674766252531,37.6031334120873,27.3639244615314,25.2812630893711,18.7397482396884
2.5th percentile,0,0,0,0,0,2.64139169478733
97.5th percentile,72.1370245248675,70.8492861954662,87.2064721475998,87.8541628766943,81.2339275457127,62.8134977891023
Adults 75 years and over, , , , , , 
Arithmetic Mean,24.5370549806093,23.8940849091999,23.2191814834694,24.0545492271303,24.7760588464789,23.4937361146623
Median,15,16.5063564208545,8.17468589501846,15,16.5,14.1497970489779
SD,27.8768255016563,26.9183805457384,33.1076071679684,28.9380711444709,27.676898567351,23.7976722408158
2.5th percentile,0,0,0,0,0,1.92676720439685
97.5th percentile,96.6621443763365,108.170978701246,80.809432812365,93.2540300511091,87.2949244708189,81.1445420293415
Bases (unweighted) Children 1.5 to 3 years,326,278,215,250,306,342
Bases (unweighted) Boys 4 to 10 years,322,343,258,276,372,427
Bases (unweighted) Girls 4 to 10 years,329,283,237,238,353,419
Bases (unweighted) Children 4 to 10 years,651,626,495,514,725,846
Bases (unweighted) Boys 11 to 18 years,368,376,268,270,337,390
Bases (unweighted) Girls 11 to 18 years,357,396,280,272,346,365
Bases (unweighted) Children 11 to 18 years,725,772,548,542,683,755
Bases (unweighted) Men 19 to 64 years,534,592,373,450,570,688
Bases (unweighted) Women 19 to 64 years,720,851,592,632,822,863
Bases (unweighted) Adults 19 to 64 years,1254,1443,965,1082,1392,1551
Bases (unweighted) Men 65 to 74 years,89,92,82,71,117,165
Bases (unweighted) Women 65 to 74 years,103,136,118,110,145,190
Bases (unweighted) Adults 65 to 74 years,192,228,200,181,262,355
Bases (unweighted) Men 75 years and over,63,73,48,70,76,107
Bases (unweighted) Women 75 years and over,104,93,75,84,114,133
Bases (unweighted) Adults 75 years and over,167,166,123,154,190,240
Years 9 to 11 is based on 3 survey years whereas all previous combinations are paired survey years.,,,,,,
Years 12 to 15 is based on 4 survey years.,,,,,,
Years 12 to 15 dietary data was collected using Intake24 online whereas Years 1 to 11 dietary data was collected using a paper diary and the vertical line in the table indicates where this diet method change occurred.,,,,,,
Food group 6.1. Please refer to Appendix R for a full description of food groups.,,,,,,
The cell size is less than 50 for Men 75 years and over in Years 5 to 6 so the descriptive statistics are less reliable than for those where the cell size is 50 or greater.,,,,,,
